setup,framework,version,loss,accuracy,run time [s],system,dataset,processing unit
random,tensorflow,2.2,0.0468,99.14,620.3357,system_1,mnist,CPU
random,tensorflow,2.2,0.0476,99.14,629.2933,system_1,mnist,CPU
random,tensorflow,2.2,0.0439,99.22,624.3774,system_1,mnist,CPU
random,tensorflow,2.2,0.0519,99.12,625.7100,system_1,mnist,CPU
random,tensorflow,2.2,0.0413,99.16,622.6711,system_1,mnist,CPU
seeds,tensorflow,2.2,0.0513,99.16,612.5385,system_1,mnist,CPU
seeds,tensorflow,2.2,0.0513,99.16,627.0478,system_1,mnist,CPU
seeds,tensorflow,2.2,0.0513,99.16,654.6451,system_1,mnist,CPU
seeds,tensorflow,2.2,0.0513,99.16,656.4156,system_1,mnist,CPU
seeds,tensorflow,2.2,0.0513,99.16,628.3192,system_1,mnist,CPU
deterministic,tensorflow,2.2,0.0468,99.16,604.2396,system_1,mnist,CPU
deterministic,tensorflow,2.2,0.0468,99.16,664.2041,system_1,mnist,CPU
deterministic,tensorflow,2.2,0.0468,99.16,622.7594,system_1,mnist,CPU
deterministic,tensorflow,2.2,0.0468,99.16,651.8542,system_1,mnist,CPU
deterministic,tensorflow,2.2,0.0468,99.16,638.3501,system_1,mnist,CPU
random,tensorflow,2.2,0.0549,99.01,252.0463,system_1,mnist,single GPU
random,tensorflow,2.2,0.0448,99.11,242.3629,system_1,mnist,single GPU
random,tensorflow,2.2,0.0454,99.19,269.8554,system_1,mnist,single GPU
random,tensorflow,2.2,0.0484,99.22,239.1473,system_1,mnist,single GPU
random,tensorflow,2.2,0.0482,99.07,248.6220,system_1,mnist,single GPU
seeds,tensorflow,2.2,0.0470,99.07,247.0045,system_1,mnist,single GPU
seeds,tensorflow,2.2,0.0454,99.15,256.5582,system_1,mnist,single GPU
seeds,tensorflow,2.2,0.0431,99.21,252.2536,system_1,mnist,single GPU
seeds,tensorflow,2.2,0.0471,99.21,268.4662,system_1,mnist,single GPU
seeds,tensorflow,2.2,0.0518,99.05,241.6716,system_1,mnist,single GPU
deterministic,tensorflow,2.2,0.04637,99.02,303.5787,system_1,mnist,single GPU
deterministic,tensorflow,2.2,0.04637,99.02,286.7710,system_1,mnist,single GPU
deterministic,tensorflow,2.2,0.04637,99.02,299.1134,system_1,mnist,single GPU
deterministic,tensorflow,2.2,0.04637,99.02,309.8826,system_1,mnist,single GPU
deterministic,tensorflow,2.2,0.04637,99.02,313.9591,system_1,mnist,single GPU
random,tensorflow,2.2,0.0481,99.11,622.5898,system_1,mnist,multi GPU
random,tensorflow,2.2,0.0503,99.04,611.9239,system_1,mnist,multi GPU
random,tensorflow,2.2,0.0463,99.02,616.2284,system_1,mnist,multi GPU
random,tensorflow,2.2,0.0546,99.01,620.7044,system_1,mnist,multi GPU
random,tensorflow,2.2,0.0493,99.05,634.5911,system_1,mnist,multi GPU
seeds,tensorflow,2.2,0.0513,99.16,612.7761,system_1,mnist,multi GPU
seeds,tensorflow,2.2,0.0513,99.16,624.4088,system_1,mnist,multi GPU
seeds,tensorflow,2.2,0.0513,99.16,632.5841,system_1,mnist,multi GPU
seeds,tensorflow,2.2,0.0513,99.16,629.4114,system_1,mnist,multi GPU
seeds,tensorflow,2.2,0.0513,99.16,635.5652,system_1,mnist,multi GPU
deterministic,tensorflow,2.2,0.0468,99.17,642.2554,system_1,mnist,multi GPU
deterministic,tensorflow,2.2,0.0468,99.17,629.3151,system_1,mnist,multi GPU
deterministic,tensorflow,2.2,0.0468,99.17,634.5412,system_1,mnist,multi GPU
deterministic,tensorflow,2.2,0.0468,99.17,645.1097,system_1,mnist,multi GPU
deterministic,tensorflow,2.2,0.0468,99.17,664.5485,system_1,mnist,multi GPU
random,tensorflow,2.2,0.0447,99.15,1088.8331,system_4,mnist,CPU
random,tensorflow,2.2,0.0388,99.22,984.4759,system_4,mnist,CPU
