setup,framework,version,loss,accuracy,run time [s],system,dataset,processing unit
no seeds,xgboost,1.0.2,5.5985,NA,0.9926,system_1,boston,CPU
no seeds,xgboost,1.0.2,5.4372,NA,1.2750,system_1,boston,CPU
no seeds,xgboost,1.0.2,5.2892,NA,1.0805,system_1,boston,CPU
no seeds,xgboost,1.0.2,5.4834,NA,0.9254,system_1,boston,CPU
no seeds,xgboost,1.0.2,4.9372,NA,1.2576,system_1,boston,CPU
seeds,xgboost,1.0.2,5.1277,NA,1.3553,system_1,boston,CPU
seeds,xgboost,1.0.2,5.1277,NA,0.9928,system_1,boston,CPU
seeds,xgboost,1.0.2,5.1277,NA,1.1685,system_1,boston,CPU
seeds,xgboost,1.0.2,5.1277,NA,1.1994,system_1,boston,CPU
seeds,xgboost,1.0.2,5.1277,NA,0.9897,system_1,boston,CPU
single precision,xgboost,1.0.2,5.1277,NA,1.2604,system_1,boston,CPU
single precision,xgboost,1.0.2,5.1277,NA,1.1634,system_1,boston,CPU
single precision,xgboost,1.0.2,5.1277,NA,0.9574,system_1,boston,CPU
single precision,xgboost,1.0.2,5.1277,NA,1.1814,system_1,boston,CPU
single precision,xgboost,1.0.2,5.1277,NA,1.1492,system_1,boston,CPU
no seeds,xgboost,1.0.2,5.3041,NA,10.6252,system_1,boston,single GPU
no seeds,xgboost,1.0.2,4.8592,NA,10.5042,system_1,boston,single GPU
no seeds,xgboost,1.0.2,5.1092,NA,10.8534,system_1,boston,single GPU
no seeds,xgboost,1.0.2,5.4236,NA,10.4325,system_1,boston,single GPU
no seeds,xgboost,1.0.2,5.0124,NA,10.6425,system_1,boston,single GPU
seeds,xgboost,1.0.2,5.2117,NA,10.6425,system_1,boston,single GPU
seeds,xgboost,1.0.2,5.2117,NA,10.9952,system_1,boston,single GPU
seeds,xgboost,1.0.2,5.2117,NA,10.6635,system_1,boston,single GPU
seeds,xgboost,1.0.2,5.2117,NA,10.6765,system_1,boston,single GPU
seeds,xgboost,1.0.2,5.2117,NA,10.2383,system_1,boston,single GPU
single precision,xgboost,1.0.2,6.0438,NA,10.2383,system_1,boston,single GPU
single precision,xgboost,1.0.2,5.5764,NA,10.2383,system_1,boston,single GPU
single precision,xgboost,1.0.2,5.0998,NA,10.2383,system_1,boston,single GPU
single precision,xgboost,1.0.2,6.2739,NA,10.2383,system_1,boston,single GPU
single precision,xgboost,1.0.2,6.0418,NA,10.2383,system_1,boston,single GPU
no seeds,xgboost,1.1.0 CUDA 9,5.1024,NA,1.3122,system_1,boston,CPU
no seeds,xgboost,1.1.0 CUDA 9,5.4051,NA,1.2366,system_1,boston,CPU
no seeds,xgboost,1.1.0 CUDA 9,4.9852,NA,1.2987,system_1,boston,CPU
no seeds,xgboost,1.1.0 CUDA 9,4.7490,NA,1.3122,system_1,boston,CPU
no seeds,xgboost,1.1.0 CUDA 9,5.3014,NA,1.3176,system_1,boston,CPU
seeds,xgboost,1.1.0 CUDA 9,5.1438,NA,1.2543,system_1,boston,CPU
seeds,xgboost,1.1.0 CUDA 9,5.1438,NA,1.3958,system_1,boston,CPU
seeds,xgboost,1.1.0 CUDA 9,5.1438,NA,1.4253,system_1,boston,CPU
seeds,xgboost,1.1.0 CUDA 9,5.1438,NA,1.2958,system_1,boston,CPU
seeds,xgboost,1.1.0 CUDA 9,5.1438,NA,1.2859,system_1,boston,CPU
single precision,xgboost,1.1.0 CUDA 9,5.1438,NA,1.3284,system_1,boston,CPU
single precision,xgboost,1.1.0 CUDA 9,5.1438,NA,1.2173,system_1,boston,CPU
single precision,xgboost,1.1.0 CUDA 9,5.1438,NA,1.1734,system_1,boston,CPU
single precision,xgboost,1.1.0 CUDA 9,5.1438,NA,1.1542,system_1,boston,CPU
