setup,framework,version,loss,accuracy,run time [s],system,dataset,processing unit
random,xgboost,1.0.2,0.0529,NA,470.5423,system_4,covertype,CPU
random,xgboost,1.0.2,0.0505,NA,472.3258,system_4,covertype,CPU
random,xgboost,1.0.2,0.0601,NA,428.5361,system_4,covertype,CPU
random,xgboost,1.0.2,0.0585,NA,450.5974,system_4,covertype,CPU
random,xgboost,1.0.2,0.0604,NA,485.2499,system_4,covertype,CPU
seeds,xgboost,1.0.2,0.0587,NA,415.4996,system_4,covertype,CPU
seeds,xgboost,1.0.2,0.0587,NA,439.5901,system_4,covertype,CPU
seeds,xgboost,1.0.2,0.0587,NA,449.4591,system_4,covertype,CPU
seeds,xgboost,1.0.2,0.0587,NA,420.5090,system_4,covertype,CPU
seeds,xgboost,1.0.2,0.0587,NA,465.2359,system_4,covertype,CPU
single precision,xgboost,1.0.2,0.0587,NA,429.3491,system_4,covertype,CPU
single precision,xgboost,1.0.2,0.0587,NA,458.5915,system_4,covertype,CPU
single precision,xgboost,1.0.2,0.0587,NA,420.4923,system_4,covertype,CPU
single precision,xgboost,1.0.2,0.0587,NA,440.2830,system_4,covertype,CPU
single precision,xgboost,1.0.2,0.0587,NA,424.9320,system_4,covertype,CPU
random,xgboost,1.0.2,0.0599,NA,280.2391,system_4,covertype,single GPU
random,xgboost,1.0.2,0.0603,NA,295.9414,system_4,covertype,single GPU
random,xgboost,1.0.2,0.0612,NA,284.5910,system_4,covertype,single GPU
random,xgboost,1.0.2,0.0558,NA,295.2914,system_4,covertype,single GPU
random,xgboost,1.0.2,0.0560,NA,294.5913,system_4,covertype,single GPU
seeds,xgboost,1.0.2,0.0584,NA,283.5915,system_4,covertype,single GPU
seeds,xgboost,1.0.2,0.0595,NA,281.4815,system_4,covertype,single GPU
seeds,xgboost,1.0.2,0.0589,NA,275.3250,system_4,covertype,single GPU
seeds,xgboost,1.0.2,0.0581,NA,275.3291,system_4,covertype,single GPU
seeds,xgboost,1.0.2,0.0580,NA,276.2193,system_4,covertype,single GPU
single precision,xgboost,1.0.2,0.0589,NA,276.2193,system_4,covertype,single GPU
single precision,xgboost,1.0.2,0.0594,NA,259.4921,system_4,covertype,single GPU
single precision,xgboost,1.0.2,0.0588,NA,257.4814,system_4,covertype,single GPU
single precision,xgboost,1.0.2,0.0593,NA,259.1852,system_4,covertype,single GPU
single precision,xgboost,1.0.2,0.0592,NA,266.2941,system_4,covertype,single GPU
random,xgboost,1.1.0 CUDA 9,0.0578,NA,413.8195,system_4,covertype,CPU
random,xgboost,1.1.0 CUDA 9,0.0623,NA,409.0194,system_4,covertype,CPU
random,xgboost,1.1.0 CUDA 9,0.0621,NA,405.1292,system_4,covertype,CPU
random,xgboost,1.1.0 CUDA 9,0.0595,NA,442.6094,system_4,covertype,CPU
